,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
age,0.264,0.077,0.127,0.39,0.004,0.003,330.0,192.0,1.0
gender,0.588,0.403,-0.093,1.449,0.035,0.026,133.0,96.0,1.03
smoking,1.317,0.241,0.888,1.786,0.021,0.015,138.0,132.0,1.0
fever,1.901,0.463,1.081,2.816,0.035,0.026,174.0,157.0,0.99
vomiting,-2.933,0.475,-3.783,-1.998,0.042,0.03,131.0,138.0,1.0
cutpoints[0],0.702,0.498,-0.225,1.507,0.037,0.028,185.0,151.0,1.0
cutpoints[1],3.257,0.559,2.197,4.17,0.049,0.036,120.0,103.0,1.02
cutpoints[2],7.391,0.813,5.883,8.829,0.065,0.047,158.0,101.0,1.01
